28/10/24 02:10 - Pika:  SHIIIIIIIIT 
21/12/23 08:11 - Pika:  Abr cuenta 
12/01/24 11:23 - Pika:  Tkm bro tú sabes qpdo 🔥🔥🔥💎💎 
15/04/23 03:30 - Pika:  Weno ya se me pasó mis 5 minutos de euforia 
19/06/24 02:49 - Pika:  Q eseso? 
10/09/23 15:00 - Pika:  Gerry te quitaron el nepe? 
22/09/23 23:24 - Pika:  Castigo o premio? 
01/11/23 17:13 - Pika:  JAJAJAJA 
01/08/24 07:36 - Pika:  Esq no tengo lupa canijillo 
09/01/24 06:41 - Pika:  Ay cabron 
28/07/24 01:41 - Pika:  No tengo tanto aumento en los lentes gerry si ocupo 
14/11/23 10:42 - Pika:  @5215533980587 
08/08/23 13:32 - Pika:  Pasa el knime 
21/01/24 06:54 - Pika:  @5215533980587 
11/10/24 11:19 - Pika:  @5215533980587 
08/10/24 23:10 - Pika:  @5215533980587 
27/04/24 08:30 - Pika:  @5215533980587 nos van a preñar 
10/10/23 03:59 - Pika:  pipipi 
14/04/24 16:00 - Pika:  Avatar me 
10/05/24 19:08 - Pika:  Me 
05/03/23 00:00 - Pika:  No maaa 
03/07/23 13:18 - Pika:  Me encontré a Ivan en el WC 
15/11/23 16:04 - Pika:  Va 
24/11/23 08:52 - Pika:  XD 
10/05/24 11:51 - Pika:  Q chistoso cuando ADA casi me revienta 
31/07/24 07:46 - Pika:  Hay un lore que dice que Jurgen se ligaba a la profesora de ADA 
19/04/24 22:35 - Pika:  Xd 
18/09/24 10:19 - Pika:  Pero ese lore solo se desbloquea en chicas mañana 
14/05/23 12:59 - Pika:  Hijo de tu q horror 
20/10/23 22:14 - Pika:  Pinche grosero 
10/09/24 03:13 - Pika:  Chingada madre 
21/02/23 18:19 - Pika:  No te pregunte papstiam 
02/06/24 22:20 - Pika:  Pero gracias 🤝 
05/03/24 02:26 - Pika:  Pq 
01/07/24 04:55 - Pika:  Q le hicieron? 
22/01/24 19:34 - Pika:  Era broma gerry 
09/04/23 14:45 - Pika:  🦭🦭🦭🦭🦭 
29/01/24 15:04 - Pika:  Pinche macareno 
24/10/23 16:43 - Pika:  Me acuerdo cuando 
30/05/24 10:34 - Pika:  Y en el examen 1 ejercicio q sea de personajes de serie  de caricatura y tienen que ser machistas 
05/08/23 11:27 - Pika:  Weno 
02/08/24 14:39 - Pika:  Tengo q seguir combino 
21/01/23 19:53 - Pika:  Chambeando 
17/05/24 02:28 - Pika:  Lo de siempre 
09/01/24 18:10 - Pika:  Sueño chamba y tarea 
02/05/23 00:25 - Pika:  XD 
28/06/23 12:44 - Pika:  No ma 
01/10/24 20:59 - Pika:  Chicas ayer fue el mejor día de mi vida 
30/07/24 05:01 - Pika:  Gracias a dios no 
29/10/24 10:07 - Pika:  Ayer fui al estadio azteca 
04/10/24 11:58 - Pika:  No ma 
13/08/24 17:25 - Pika:  Estoy ronquisimo 
05/06/24 03:02 - Pika:  Pero 
03/10/23 10:22 - Pika:  Yo antes de prenderme con la porra 
03/05/23 14:51 - Pika:  Cuánto cesta 
23/02/24 14:02 - Pika:  puta madre 
02/02/24 12:19 - Pika:  no me acordaba que mañana presento mi 
07/11/23 19:28 - Pika:  ejemplo de nacumcuumcum 
06/04/23 18:11 - Pika:  el 6.9 
21/03/23 17:31 - Pika:  No eentiendo que hace esa chingadera 
29/03/23 12:32 - Pika:  No maa 
31/08/24 23:29 - Pika:  twins 
02/12/23 19:01 - Pika:  Oye y si le enteidndes pop? 
01/09/23 12:28 - Pika:  Esq la vd no he puesto atencion 
22/07/24 16:19 - Pika:  Yo desde hace 10 minutos jaja 
02/04/23 02:04 - Pika:  La buena noticia esq ya tengo la foto de portada de mi presentacion 
19/04/24 22:12 - Pika:  Esa jejeje 
21/01/23 12:04 - Pika:  Yo igual amigo 
10/01/24 22:33 - Pika:  Es la boy band de cp 
18/11/23 12:16 - Pika:  child porn 
12/08/24 06:10 - Pika:  Vavavava 
27/12/23 17:25 - Pika:  Q roro o gerry toquen el bajo 
19/11/23 17:10 - Pika:  No cierto amigo cp significa catadaor de patas 
07/06/23 17:30 - Pika:  Esq sientoq. a pablo le falta convivr con chicas tarde 
26/08/23 10:53 - Pika:  Yo tambn 
11/10/23 09:06 - Pika:  Esq pablo dario canta bn craborn 
30/01/23 06:09 - Pika:  La de popipopipopopipo 
20/08/24 18:47 - Pika:  Tas cabron gerry 
22/02/24 03:11 - Pika:  Felicidades 
21/07/24 08:20 - Pika:  De seguro le cambiaste los pañales gerry 
15/03/23 12:52 - Pika:  Puro XML haters 
16/03/23 17:39 - Pika:  Fue risa de villano 
17/06/24 06:54 - Pika:  Apenas 
03/11/23 07:07 - Pika:  Voy a presentar 
15/10/23 03:16 - Pika:  Le toca a Pablo 
13/02/23 20:23 - Pika:  Pero no vino 
17/07/23 21:12 - Pika:  Aparte esta bn facilese ferri 
07/02/23 02:23 - Pika:  El otro semestre se vana pasar a la mañana? 
03/05/24 04:02 - Pika:  Oigan chicas tarde 
07/10/24 23:21 - Pika:  El próximo semestre se van a meter en la mañana??? 
06/04/23 20:51 - Pika:  Siy ese? 
26/01/23 21:10 - Pika:  Q? 
06/10/23 08:47 - Pika:  Los qm chicas tarde 
05/05/23 22:15 - Pika:  Oye pi 
20/05/24 07:31 - Pika:  En coco cuando cantan tu me traes 1 poko Loko para ti es tu me traes un demasiado normal? 
06/02/24 17:49 - Pika:  ._.XD 
17/08/24 11:27 - Pika:  Vota 
03/07/24 10:51 - Pika:  Nahum 
08/06/23 04:01 - Pika:  Pablo entró al chat de forma épica 
06/09/24 03:24 - Pika:  Como las fe gus 
15/05/23 10:27 - Pika:  Pop usarás tu calculadora? 
09/06/23 06:28 - Pika:  Entre hoy y el lunes 
02/02/23 23:29 - Pika:  Puedes pasarle la calculadora a @5217444072924 ? 
30/07/23 01:26 - Pika:  La usare con fines de examen de Leonor 
31/07/24 04:14 - Pika:  Y te la regreso el lunes 
19/03/23 08:00 - Pika:  Gracias pop 
22/06/23 17:44 - Pika:  De hecho soy Pi 
31/07/23 16:54 - Pika:  Pero usando el cel pop 
26/05/23 22:19 - Pika:  Pq 
28/12/23 21:17 - Pika:  Mmm seguro q quieres saber??🤨🤨 
01/07/23 22:39 - Pika:  Jejejejejejjejeje xD 
12/01/23 01:21 - Pika:  Todo esto es para que te quedaras esteril 
21/11/23 09:17 - Pika:  Si roro 
22/08/23 04:09 - Pika:  Q significa VM? 
18/04/23 19:36 - Pika:  Viejas y muchachas? 
06/03/23 02:37 - Pika:  Casi muero 
07/04/24 07:22 - Pika:  Suputamdre 
10/05/24 04:52 - Pika:  Si hubiera estado 5 metros más enfrente de verdad creo que hubiera muerto 
14/07/23 12:21 - Pika:  XD 
27/12/23 22:16 - Pika:  No ma 
13/09/24 21:16 - Pika:  Audio q le mande a 1 amigo 
19/11/23 00:20 - Pika:  Si se Mmmm 
30/07/24 00:19 - Pika:  Nmms i 
03/10/23 08:13 - Pika:  Iba con Mariana y se puso bn nerviosa 
22/05/24 04:22 - Pika:  Tuve q actuar como el alpha q soy 
04/05/24 20:24 - Pika:  De puro ver al Temach 
04/01/24 12:00 - Pika:  Si amigo 
20/02/24 23:20 - Pika:  Ando bn surrado 
24/05/24 09:51 - Pika:  Voy 
30/08/23 08:31 - Pika:  Dame 2 pi 
28/02/24 02:11 - Pika:  Esq ando buscándo mi cabe 
20/06/23 06:40 - Pika:  Yo no tengo problema con los gays, yo no soy hidrofóbico pero eso si, que no se besen enfrente de mi 
20/02/24 12:24 - Pika:  Con eso si no puedo 
14/08/24 18:02 - Pika:  Nonono 
24/06/24 00:00 - Pika:  JOJOJO 
26/09/24 13:23 - Pika:  Saludos colega 👋 
04/04/24 13:14 - Pika:  Eso q gerry? 
22/01/23 12:19 - Pika:  Contexto pls 
21/05/24 05:23 - Pika:  😜😜😜 
08/10/23 06:35 - Pika:  🤞🤞😜😜✌️✌️ 
28/10/23 22:16 - Pika:  En mi cama 
16/02/23 00:12 - Pika:  Twitter premium 
13/11/23 12:47 - Pika:  @5215515359878 Clash Royale era muy bueno pero si es bn pay to win 
23/08/24 15:43 - Pika:  Desde q salieron las evoluciones 
22/01/23 00:01 - Pika:  Es buen juego porque es adictivo 
04/08/24 21:50 - Pika:  Es la representación de la ruina del jugador 
04/08/23 12:27 - Pika:  Estoy pensando no ir mañana 
14/02/24 05:25 - Pika:  Solo iría a Minería 
15/08/23 14:23 - Pika:  No se si vale la pena 
14/07/23 21:11 - Pika:  Pinche perra 
27/06/24 09:20 - Pika:  Buenos días a todos excepto 
19/06/23 03:24 - Pika:  @5215533980587 
21/05/24 07:55 - Pika:  Ontan 
18/07/23 08:45 - Pika:  Ituriel zzz 
09/02/24 05:13 - Pika:  Weno la vd 
13/05/24 22:01 - Pika:  Soy tema Diego nena 
24/12/23 14:28 - Pika:  Lo q sea de cada qn 
13/08/24 00:03 - Pika:  No tengo nada contra nadie 
02/10/23 14:24 - Pika:  Si 
14/06/23 15:28 - Pika:  Weno ya pobre dogo 
19/07/23 17:05 - Pika:  Q invite a qn quiera 
24/04/23 10:39 - Pika:  Pero no invites a ninguna picafresa 
20/07/24 17:45 - Pika:  No ma 
13/07/24 00:49 - Pika:  Pero el Nahum se alburepo solito 
09/10/24 04:30 - Pika:  🤣🤣🤣🤣 
30/08/23 05:42 - Pika:  Hacer q 
10/07/23 16:53 - Pika:  Chicas tarde escuchen el audio 
23/08/23 20:35 - Pika:  De discord general q mande 
06/09/23 18:24 - Pika:  Es Nahuel albureandise soito 
27/07/24 18:34 - Pika:  Nahum* 
28/02/23 11:59 - Pika:  Pero esta en el canal general de discord 
04/09/24 04:00 - Pika:  No ma 
03/07/24 02:40 - Pika:  siiiii 
30/03/24 17:11 - Pika:  Especial vacaciones verano 
14/01/24 10:57 - Pika:  Mejor hay que hacerlo nosotros 
05/04/23 15:08 - Pika:  Esq siento que en un karaoke así va a estar caro 
23/10/23 04:16 - Pika:  Chi 
06/11/23 00:24 - Pika:  Weno como vean amigos 
30/08/23 21:57 - Pika:  Mmmmm 
24/04/23 19:40 - Pika:  Abr 
10/08/23 00:56 - Pika:  Achis 
26/09/24 10:00 - Pika:  Pero yo todavía no estoy en mi prime 
07/05/23 11:21 - Pika:  No he estado en mi prime 
02/12/23 20:36 - Pika:  Gracias equipo amistad por 
27/09/23 22:46 - Pika:  Estamos para 🫶 
19/03/23 06:28 - Pika:  Las chicas se separaron cuando se cumplió el sueño de las chicas mañana a chicas tarde 
26/12/23 12:19 - Pika:  Si 
26/04/23 07:13 - Pika:  Se fue viral 
19/10/23 06:45 - Pika:  Yo le comenté 
25/10/23 13:00 - Pika:  😆😆😆 
20/04/24 22:55 - Pika:  Ya tiene 15k 
16/07/23 12:18 - Pika:  Ay ojalá se haga famosa y me mantenga 
27/12/23 20:32 - Pika:  Y me pague mi carrera de artista 
28/06/23 19:14 - Pika:  🙏🙏🙏 
01/08/23 08:39 - Pika:  Falta Pablo Dario 
19/06/23 03:25 - Pika:  Su cumpleaños es 31 de febrero 
23/06/23 17:10 - Pika:  Foto o fane 
23/07/23 21:51 - Pika:  Awas a gsu le gustan de esas 
28/09/24 19:59 - Pika:  Toda la rayerson 
26/01/23 08:19 - Pika:  Y al topar con pared a la derecha 
07/10/24 12:39 - Pika:  Y cuando veas un letrero de Jorge mecánico 
04/08/23 19:22 - Pika:  Ahí no es 
12/11/23 06:36 - Pika:  Hola 
24/10/24 07:12 - Pika:  Yo tambn quiero jugar genshin 
11/07/23 18:07 - Pika:  Pero solo si hay skin de avatar 
13/05/24 16:10 - Pika:  Anulo mi voto 
15/07/23 18:07 - Pika:  Ora q Gerry partían 
25/11/23 12:07 - Pika:  💛💙🦅 
06/03/24 16:05 - Pika:  No ma pobre paxtoan 
13/08/24 19:06 - Pika:  Pero lo bueno Esq gano el peluche caligari 
10/09/23 11:47 - Pika:  Feliz cum a la más Piton de las chicas 
26/03/23 21:09 - Pika:  Tkm bro tú sabes q pedo🔥🔥🔥 
25/08/24 09:37 - Pika:  Sabes q cualquier cosa que necesites bro🔥🔥🔥 
15/05/24 18:04 - Pika:  no ma 
20/07/24 16:09 - Pika:  no puedo 
05/04/24 02:51 - Pika:  no ma 
12/10/24 16:45 - Pika:  pinche papstian te papiaron 
24/05/24 15:38 - Pika:  Como dijo 1 pendejo 
25/06/23 21:43 - Pika:  Anulo voto 
16/09/23 05:49 - Pika:  Jeasn tiene el poder de la mafia 
22/10/23 12:19 - Pika:  La abuelita de Mariana mandó un buen 
21/01/24 10:02 - Pika:  Deja busco roro 
12/07/23 03:54 - Pika:  Buenos dias 
02/12/23 12:08 - Pika:  Yo puse el nombre de Leonor 
10/07/23 08:49 - Pika:  Ora q te traes con gsus antoine 
08/02/24 22:50 - Pika:  Awas con mi quiquiriqui 
25/04/24 07:36 - Pika:  Ese wey reparte buenas 🍍🍍 
16/05/23 09:52 - Pika:  No ma que qlero tomar clases con NEFTALI 
22/02/23 20:38 - Pika:  Pero más qlero tomar clases con Isaac 
04/01/23 09:34 - Pika:  Pero esa señora es lo peor de la película 
16/01/23 23:05 - Pika:  Esa loba 
22/08/23 06:05 - Pika:  Siiiii 
21/10/23 19:21 - Pika:  Naaaah es lo peor 
02/08/23 13:43 - Pika:  Lo mejor es el gorilla 
03/07/24 21:47 - Pika:  La loba es bn zz 
07/09/23 13:22 - Pika:  Pero el gorila se agarra a chingadazos con el mono 
29/09/23 23:29 - Pika:  o babuino 
12/06/23 05:16 - Pika:  Pero apop si le gustan los musicales 
07/05/24 01:58 - Pika:  De hecho le gusta hsm el desafío 
27/12/23 07:39 - Pika:  Fútbol fútbol fútbol siempre fútbol ⚽️ 
03/04/24 09:08 - Pika:  Pero ese no es para el 2023? 
15/07/23 09:37 - Pika:  weno pero debe ser por esa fecha 
01/09/23 05:07 - Pika:  Esq me acuerdo que el del año pasado estuvo bn qlero el lugar 
03/03/24 03:30 - Pika:  Yo me acuerdo que si 
28/02/24 21:04 - Pika:  A las chicas mañana no 
16/08/24 05:46 - Pika:  Primer vistazo a GCGC 
07/03/24 21:21 - Pika:  Jajajajaja 
03/09/23 01:22 - Pika:  El chiquito va arriba 
12/01/23 19:58 - Pika:  Abrir las patas 
01/01/23 13:17 - Pika:  @5215565635201 lo prometiste 
25/06/24 10:35 - Pika:  La de ustedes estuvo igual 
05/03/23 09:48 - Pika:  Gsu sal del cuerpo de Caro 
11/05/23 14:27 - Pika:  Pero todavía puedes aprender a minar bitcoin 
20/09/24 23:58 - Pika:  No dogo 
21/04/24 19:25 - Pika:  Háblale @5216462270012 
04/06/23 13:49 - Pika:  Ay 
17/03/24 14:10 - Pika:  Akino 
25/04/23 13:38 - Pika:  Es para mentarle su madre a la gente random en warzond 
23/10/23 10:43 - Pika:  Pero vas 
20/12/23 16:48 - Pika:  Vaaaaa 
12/08/23 18:50 - Pika:  Y pelon 
25/06/24 23:46 - Pika:  ´Pinche vecina pendeja xd 
21/08/23 14:58 - Pika:  @5215530240240 
14/08/23 20:17 - Pika:  Oigan 
30/03/24 00:51 - Pika:  Q vamos a hacer hoy? 
22/04/24 09:16 - Pika:  Y voy 
16/06/23 19:57 - Pika:  Pinche pop 
20/01/24 12:00 - Pika:  Donde chingados andas 
29/10/23 16:38 - Pika:  Estoy encabronao 
31/01/24 01:40 - Pika:  Amigos los quiero mucho 
31/12/23 18:32 - Pika:  No homo 
01/06/24 00:50 - Pika:  No he hablado con ella de eso 
26/10/24 16:52 - Pika:  Pero yo creo que si 
11/06/23 20:31 - Pika:  No ma pi :( 
28/07/24 18:51 - Pika:  Lo siento mucho pi 
27/04/23 12:25 - Pika:  UUUUUUUUY bn fácil 
16/03/23 19:35 - Pika:  eSO SALE CON REGRESIÓN LINEAL 
02/04/24 11:45 - Pika:  Pq 
05/10/23 14:42 - Pika:  Cuentenme bn que pasa 
09/08/24 01:37 - Pika:  Wey contexto plis 
19/02/23 21:10 - Pika:  El nefatlí de seguro 
15/08/24 23:12 - Pika:  OLA 
30/08/24 08:27 - Pika:  Q luis? 
05/01/24 02:02 - Pika:  Q 
20/11/23 14:31 - Pika:  Ya estoy bn perdido 
11/01/24 05:02 - Pika:  Quinee pingas es arturo 
06/10/23 19:40 - Pika:  Tomale foto 
26/02/23 00:07 - Pika:  Tu dogo 
02/05/23 04:06 - Pika:  AAAAAAAH 
11/04/24 06:53 - Pika:  Ya se qn 
31/10/23 11:20 - Pika:  ZZZ 
24/02/24 05:56 - Pika:  A mi masomenos 
12/01/23 18:45 - Pika:  A mi me cae peor el neftalo 
04/02/23 23:54 - Pika:  De seguro es equipo de artuor 
15/11/23 08:40 - Pika:  Por que es bn castroso 
26/09/24 12:53 - Pika:  Osea hello 
26/09/23 12:29 - Pika:  No ma no te acuerdas con tu comadre benji 
17/05/24 16:34 - Pika:  Que hacía pura mamada en los foros de discusión 
02/09/24 16:44 - Pika:  Y luego decía puras mamadotas en botello 
04/06/24 21:05 - Pika:  Por ese wey de seguro el grupo le caia mal 
30/07/23 06:22 - Pika:  Calm Energy 
13/04/23 17:05 - Pika:  Yo digo 
25/04/24 19:07 - Pika:  Yo cuál soy? 
31/05/23 19:40 - Pika:  Oye dogo 
26/11/23 19:47 - Pika:  Ya no podré ir el sábado 
22/09/24 02:48 - Pika:  Esq tengo un evento familiar importante 
25/02/24 06:50 - Pika:  Perdón amigo 
04/07/24 23:04 - Pika:  Esq no puedo faltar 
20/03/24 23:52 - Pika:  Aunq bueno Milo me dice pi 
24/02/24 02:42 - Pika:  xd 
06/07/23 15:35 - Pika:  Entons tambn soy poquito pi 
30/10/24 17:27 - Pika:  Achis 
26/03/23 20:41 - Pika:  Siguen en la escuela? 
08/07/24 18:34 - Pika:  Pq 
23/11/23 06:54 - Pika:  Yo quierp saber 
17/07/24 05:13 - Pika:  CHicas el día de hoy 
29/09/24 02:45 - Pika:  Me dio fomo EN CHICAS TARDE 
19/04/24 04:28 - Pika:  A 
15/07/23 00:00 - Pika:  a chiquira 
12/06/24 02:50 - Pika:  Esq yo quería ver la exposición de artutro 
09/03/23 16:36 - Pika:  F pírrico 
24/08/24 06:55 - Pika:  Awas monachina dicen de ese wey pone tu número en UVM 
25/10/23 23:00 - Pika:  Pero mira el lado bueno carolai 
14/02/24 21:44 - Pika:  Ya vas a ser 1 wildcat 
19/08/23 15:11 - Pika:  Que Tetas 
20/03/23 21:33 - Pika:  Celis 
15/02/24 04:48 - Pika:  Hoy cuando funabaa medio edo Méx 
12/10/23 12:39 - Pika:  Creo que no 
09/05/23 19:15 - Pika:  Hiciste un delete sin el where😭 
24/05/23 17:52 - Pika:  Ya dijo la profesora q va a dar las calificaciones el lunes Caro 
20/07/23 02:22 - Pika:  No ma 
14/07/23 11:54 - Pika:  Te dije 
02/03/23 16:51 - Pika:  Orales 
05/07/23 14:46 - Pika:  Si la gente diera lo que dice, Isaac daría muy buenas mamadas 
26/12/23 18:33 - Pika:  -Pablo Neruda 
05/07/24 11:56 - Pika:  Ese día me tengo que ir a brasil corriendo pi 
31/07/23 21:25 - Pika:  Yo también 
13/02/23 17:49 - Pika:  No y creo 
06/02/24 11:02 - Pika:  Iiiiiiiih 
28/11/23 18:25 - Pika:  Tambn cundo un prieto (2017) dijo …. 
29/07/23 06:12 - Pika:  Estamos espantados 
09/04/24 12:20 - Pika:  Antoine necesitamos ayuda con algo de mates 
15/06/24 17:39 - Pika:  Pero son demostraciones 
04/05/24 13:26 - Pika:  Pero son con desigualdades 
02/10/24 21:04 - Pika:  Te comadre 
25/01/24 14:21 - Pika:  Salva el día antoine 
31/07/23 13:12 - Pika:  Verga lo que acabo de ver 
29/02/24 02:30 - Pika:  Abrir la imagen leer la descripción y escuchar a canción si es mecesario 
11/03/23 23:51 - Pika:  🤷‍♂️ 
14/04/23 22:56 - Pika:  Que le valga verga pinche chamaco 
16/03/23 07:47 - Pika:  150 anos de historia 
22/08/24 11:59 - Pika:  Sao Paulo 
04/01/23 06:53 - Pika:  Ya hablo portugués 
23/08/24 10:47 - Pika:  O eso pienso 
14/10/24 19:05 - Pika:  El martes 
18/04/23 08:57 - Pika:  Fuera de broma si jajajajaja 
07/10/24 21:08 - Pika:  Yo creo que 8 en una certificación oral si a o 
24/02/23 08:13 - Pika:  Pero 0 es escritura 
05/06/23 15:41 - Pika:  XD 
28/08/24 03:27 - Pika:  Que rollo 
10/05/24 07:07 - Pika:  Hace rato le mandé mensaje 
31/01/23 14:31 - Pika:  Y me dijo teienes 9 
04/06/23 08:05 - Pika:  Confirmo le da hueva evaluar 
21/09/23 12:47 - Pika:  Ya subió las calificaciones el nacum 
25/01/23 03:53 - Pika:  Ougan 
03/07/23 13:05 - Pika:  Cuando sale las reinscripciones 
14/07/23 06:37 - Pika:  Gracias gomez 
15/08/23 15:55 - Pika:  A mamarla 
03/01/24 06:09 - Pika:  Le hiciste bm? 
25/02/24 22:56 - Pika:  Como te enseñe pi? 
13/04/23 21:52 - Pika:  Ya se 
14/01/23 04:30 - Pika:  Por eso hago bom 
30/12/23 19:22 - Pika:  Para matarlo mas 
06/09/24 23:47 - Pika:  Maldito juego de cagado 
01/08/24 17:58 - Pika:  Ola 
23/01/24 09:40 - Pika:  Todo bien? 
24/05/23 11:03 - Pika:  No la vi xD 
21/06/23 17:02 - Pika:  Pero puta madre argentina 
08/03/23 22:50 - Pika:  Ando que me lleva la verga 
15/10/23 23:34 - Pika:  Zzz 
09/03/23 19:10 - Pika:  El mío es mi natal Brasil 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🦁 
02/03/23 23:23 - Pika:  Bueno amigos ahorita hablamos voy a que se me pase el coraje 
09/06/23 17:09 - Pika:  Listo ya regrese 
30/06/24 21:49 - Pika:  Ese es roro 
02/09/24 16:25 - Pika:  Esas 2 mal educadas son inconfundibles 
01/08/23 08:33 - Pika:  A mi a las 3 
24/09/24 08:30 - Pika:  Si 
17/03/24 23:39 - Pika:  Como 1 guerrero azteca teton 
27/06/23 10:42 - Pika:  Ps si 
05/01/24 16:04 - Pika:  Si es real 
01/05/24 06:21 - Pika:  Mucho trámite burocrático 
02/08/23 07:13 - Pika:  Si Caro métela 8 
05/03/24 12:41 - Pika:  Mmm 
23/01/24 19:10 - Pika:  Deja lo checo 
26/01/23 07:03 - Pika:  @5215533980587 se puede? 
14/05/23 00:09 - Pika:  Dice que si 
20/08/23 16:09 - Pika:  Alv 
16/04/23 10:33 - Pika:  Caro 
10/12/23 12:01 - Pika:  Haz lo que se te pegue tu chingada gana 
05/11/23 17:05 - Pika:  Cualquier pedo 
03/02/23 22:00 - Pika:  Roro lo arregla 
11/02/24 06:36 - Pika:  Igual que mi comadre @5215533980587 
18/10/23 06:25 - Pika:  Amigos 
06/09/24 14:37 - Pika:  Ahora esta de moda Pokémon go 
18/09/23 18:15 - Pika:  Saqn sus usuarios 
08/01/24 09:45 - Pika:  No ma caro 
16/10/24 22:51 - Pika:  Porque de seguro está mejor que la que va a dar tu compadre Alejandro 
15/05/24 10:51 - Pika:  Pero no son profes ahí 
16/03/24 12:44 - Pika:  Perdón 
17/08/24 12:48 - Pika:  Ya lo edité 
16/02/24 14:06 - Pika:  Solo el de anal que nunca nos daba clase pero cuando nos daba la daba epicamente 
20/04/24 23:07 - Pika:  Afortunadamente no 
06/01/23 20:29 - Pika:  Órale 
27/08/23 02:55 - Pika:  Que carbón 
05/05/23 17:09 - Pika:  Esq no los venden en Amazon 
31/07/23 01:07 - Pika:  Chale :/ 
27/03/24 03:47 - Pika:  Tambn hay que estudiar cosas de la nube 
04/10/23 13:56 - Pika:  Me lleva la pinche chingada 
06/04/24 14:50 - Pika:  El Benji y sus pinche mv que no servían para un carajo 
